,Rank,City,relative_to_max_Num_of_book_loans_by_pub_libr_per_year_(ml)
0,1.0,San Francisco,1.0
1,2.0,Helsinki,0.9037961966897939
2,3.0,Tokyo,0.6780497015521806
3,4.0,Hong Kong,0.5503382082587324
4,5.0,New York,0.5346530244727132
5,6.0,Melbourne,0.49123782602700256
6,7.0,Singapore,0.48148179494641735
7,8.0,MontrÃ©al,0.4427280541074822
8,9.0,Toronto,0.38967959181805883
9,10.0,Los Angeles,0.3383860949222
10,11.0,Edinburgh,0.33506648783582205
11,12.0,Amsterdam,0.32060628727009066
12,13.0,Austin,0.31099124342272066
13,14.0,Shanghai,0.291710828094698
14,15.0,London,0.23457277091151274
15,16.0,Seoul,0.2169361531654302
16,17.0,Moscow,0.19838770848634305
17,18.0,Paris,0.18923083093954468
18,19.0,Rome,0.01423295982063686
19,20.0,BogotÃ¡,0.007006416669415794
20,21.0,Istanbul,0.0022845884119825463
